attr_feature_industry,attr_feature_regcap,attr_feature_n1,attr_feature_n2,attr_feature_n3,attr_feature_n4,attr_feature_c1,attr_feature_c2,attr_feature_c3,attr_feature_c4,attr_feature_sum_c1j,attr_feature_sum_c2j,attr_feature_sum_c3j,attr_feature_sum_c4j,attr_feature_rho1,attr_feature_rho2,attr_feature_rho3,attr_feature_rho4,attr_feature_beta1,attr_feature_beta2,attr_feature_beta3,attr_feature_beta4,attr_feature_1degree_num,attr_feature_2degree_num,attr_feature_MMWY_num,attr_feature_JDWY_num,attr_feature_JYYC_num,attr_feature_peroson_invest_num,attr_feature_fr_invest_num,attr_feature_SUPERVISOR_num,attr_feature_EXECUTIVE_num,attr_feature_DIRECTOR_num,attr_feature_LEGAL_num,attr_feature_L_E_num,attr_feature_L_S_num,attr_feature_L_D_num,attr_feature_D_S_num,attr_feature_D_E_num,attr_feature_S_E_num,attr_feature_L_E_D_num,attr_feature_L_E_S_num,attr_feature_L_D_S_num,attr_feature_E_D_S_num,attr_feature_L_E_D_S_num,company_name,node_id
制造业,20000000.0,5,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,5.0,0.0,2.0,16.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,灵宝市豫西水泥有限责任公司,40d56421c38140a58726082e0fcb07b9
租赁和商务服务业,130000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,吉林省鑫潮投资管理有限公司,52177cec35bd4fae8ada6dea00fb9d69
租赁和商务服务业,50000000.0,3,5,72,444,1,1,3,0,3,6,75,598,0.333333333,0.1,0.001173709,0,1,1.2,1.041666667,1.346846847,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,杭州钱来啦金融信息服务有限公司,0a0e65d651154165a3bda2c587bfa00a
租赁和商务服务业,100000000.0,4,2,8,25,2,0,0,0,4,2,8,25,0.333333333,0.0,0.0,0,1,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,上海汇驹投资管理有限公司,9f5f27f12074430aa2331b515abb5b4f
租赁和商务服务业,100000000.0,5,18,119,1860,1,10,33,0,5,21,146,2021,0.1,0.065359477,0.004700185,0,1,1.166666667,1.226890756,1.08655914,5.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,上海徽鼎投资有限公司,da305d5a59bf4ef1b5b862585f75e89a
租赁和商务服务业,105000000.0,10,82,947,8493,6,27,402,0,10,89,1136,12701,0.133333333,0.008130080999999999,0.00089746,0,1,1.085365854,1.199577614,1.495466855,10.0,82.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,山东红牛金融服务有限公司,d54b17a4f3864bfbbaeee22b605c60e6
租赁和商务服务业,1000000.0,2,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,济源市方宇电子广告有限公司,5d9fbfe2db3f4345b44dddc8355819b4
信息传输、软件和信息技术服务业,10000000.0,8,69,514,4275,2,3,139,0,8,88,619,5331,0.071428571,0.001278772,0.0010543,0,1,1.275362319,1.204280156,1.247017544,8.0,69.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京展聚天下信息技术有限公司,22d674a59b0d4c0a830815f6faa90afa
信息传输、软件和信息技术服务业,12000000.0,2,7,12,10,0,0,1,0,2,7,14,13,0.0,0.0,0.015151515,0,1,1.0,1.166666667,1.3,2.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,河南拓途网络科技有限公司,58ec069fd8dd42e49d54ab00a0d2a5c0
租赁和商务服务业,10000000.0,7,23,93,164,0,1,8,0,7,25,110,256,0.0,0.003952569,0.001870033,0,1,1.086956522,1.182795699,1.56097561,7.0,23.0,0.0,7.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,山东信东投资有限公司,dd7211aa03064c539b804fb3e7fe0fb6
租赁和商务服务业,50000000.0,4,16,19,96,0,1,0,0,4,21,29,137,0.0,0.008333333,0.0,0,1,1.3125,1.526315789,1.427083333,4.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,江苏崇安资产管理有限公司,c63fa0c09507406b9c5cc91773e43a93
租赁和商务服务业,10000000.0,3,1,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,广东明耀投资有限公司,175b10bf45994c1d8a27e96a3ce25449
租赁和商务服务业,80000000.0,5,58,57,377,0,0,0,0,5,61,69,455,0.0,0.0,0.0,0,1,1.051724138,1.210526316,1.206896552,5.0,58.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京百代佳兆基金管理有限公司,207844b2dc2542c18657912961388dad
房地产业,100000000.0,4,32,69,115,1,17,6,0,4,35,88,136,0.166666667,0.034274194,0.002557545,0,1,1.09375,1.275362319,1.182608696,4.0,32.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,安徽国茂建设置业有限公司,293b76372e2e4bc0bc99998e263fdd35
批发和零售业,5000000.0,2,1,1,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,嘉兴智轩电子商务有限公司,e4e25025bd4e48db864245c05a0afad1
信息传输、软件和信息技术服务业,50000000.0,3,2,11,5,1,0,0,0,3,2,11,5,0.333333333,0.0,0.0,0,1,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,沈阳乾包网络信息服务有限公司,4663c2343b0545eda0bc0cfc455663d2
信息传输、软件和信息技术服务业,100000000.0,6,45,26,54,5,0,11,0,6,52,27,64,0.333333333,0.0,0.033846154,0,1,1.155555556,1.038461538,1.185185185,6.0,45.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市红利圈金融服务有限公司,72a0243ae2b74b84865812b056ef4329
租赁和商务服务业,20000000.0,3,2,22,32,0,0,0,0,3,2,22,34,0.0,0.0,0.0,0,1,1.0,1.0,1.0625,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,上海不再凡投资管理有限公司,0cdec5dfe56e458e9d874429568b4d90
租赁和商务服务业,50000000.0,9,30,200,590,3,13,67,0,9,32,240,939,0.083333333,0.029885057000000007,0.0033668340000000004,0,1,1.066666667,1.2,1.591525424,9.0,30.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,金投手金融信息服务（北京）有限公司,b7ed3c2ab18a406ead030b00d9839b50
租赁和商务服务业,50000000.0,7,44,127,269,3,8,4,0,7,48,164,434,0.14285714300000002,0.00845666,0.000499938,0,1,1.090909091,1.291338583,1.6133829,7.0,44.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,河南恒源投资有限公司,debde653f6c9428b96cb0bba8202a332
租赁和商务服务业,20000000.0,3,85,375,945,0,9,100,0,3,86,409,1194,0.0,0.002521008,0.001426025,0,1,1.011764706,1.090666667,1.263492063,3.0,85.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,清凝互联网金融信息服务（上海）有限公司,042bdb8bb65b44c49cde6c00dfb8159e
租赁和商务服务业,200000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,上海贵禄投资管理有限公司,6e86634b711d47189be393c517500b9b
批发和零售业,50000000.0,4,3,6,1,0,0,0,0,4,4,10,3,0.0,0.0,0.0,0,1,1.333333333,1.666666667,3.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,淄博飞腾电子商务有限公司,a9b32c5e1ce84498a2fbb2342a1cfedf
租赁和商务服务业,70600000.0,17,27,35,369,7,6,16,0,17,30,44,470,0.051470588,0.017094017,0.026890756,0,1,1.111111111,1.257142857,1.273712737,17.0,27.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市蓝海投资电子商务有限公司,24b13efc6e61427e96cb6ec9d4746d69
信息传输、软件和信息技术服务业,10000000.0,3,9,44,121,0,0,16,0,3,11,50,176,0.0,0.0,0.016913319,0,1,1.222222222,1.136363636,1.454545455,3.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,小小黛朵（北京）科技有限公司,a9d4ea05c1e8431eb7a1d85f1caf598a
租赁和商务服务业,60000000.0,2,1,1,2,0,0,0,0,2,1,1,2,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,宁波亿鑫金融服务外包有限公司,adcd08e402ba44039aed908630d28d2d
租赁和商务服务业,10000000.0,2,2,3,1,0,0,0,0,2,2,3,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市华金隆投资有限公司,cbcb061e1c004e8e9bfbdf28722098f3
租赁和商务服务业,30000000.0,2,1,1,2,0,0,0,0,2,1,1,2,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,云南检顺投资有限公司,44c7e4df8fd54285af434f649b42c1b4
信息传输、软件和信息技术服务业,20000000.0,5,44,372,2641,1,8,128,0,5,48,459,3963,0.1,0.00845666,0.001854911,0,1,1.090909091,1.233870968,1.5005679669999998,5.0,44.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,广东微邦网络信息服务有限公司,aa84b097d2e648be834dc4c83e53f537
信息传输、软件和信息技术服务业,10000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市前海乐融在线互联网金融服务有限公司,273f70bc60f14c0badc1dbd4d70bf87d
租赁和商务服务业,8800000.0,2,4,5,9,0,0,0,0,2,4,5,9,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,瑞安市盛泽源资产管理有限公司,57d2c1f5c32b4a69a4682941329b3a85
金融业,30000000.0,3,1,1,1,0,0,0,0,3,1,1,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市巨尊互联网金融服务有限公司,02239af8391849d5a532ec95adf552b0
租赁和商务服务业,30000000.0,2,4,22,11,0,0,0,0,2,4,22,12,0.0,0.0,0.0,0,1,1.0,1.0,1.090909091,2.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京鼎蓥盛投资担保有限责任公司,26e7a48fac7641899f525d69f923f23d
租赁和商务服务业,10000000.0,2,6,7,4,0,0,1,0,2,6,9,4,0.0,0.0,0.047619048,0,1,1.0,1.285714286,1.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,云南欧亿投资有限公司,b2b887701290438289c0022b5d232e7a
租赁和商务服务业,60000000.0,3,11,20,34,0,0,2,0,3,12,24,40,0.0,0.0,0.010526316,0,1,1.090909091,1.2,1.176470588,3.0,11.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,青岛融鑫海投资管理有限公司,332598f0a15342fd8997a9f21f67af26
信息传输、软件和信息技术服务业,50000000.0,5,11,6,10,2,1,0,0,5,12,9,10,0.2,0.018181818,0.0,0,1,1.090909091,1.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东民信互联网金融有限公司,f753bd65fb114551a81c60c090e16a09
租赁和商务服务业,10000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,金华瑞涛投资管理有限公司,675864ae546345c3a38d8af13a503453
租赁和商务服务业,30000000.0,2,2,3,2,0,0,0,0,2,2,3,2,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,大同市南郊区中银非融资性投资担保有限公司,552249fe112847e08e94de12a196e04e
租赁和商务服务业,10000000.0,5,23,26,66,0,5,0,0,5,23,28,69,0.0,0.019762846,0.0,0,1,1.0,1.076923077,1.045454545,5.0,23.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,国脉基业（深圳）投资控股有限公司,72925940e41d4621941c0043a52ff0bf
制造业,120000000.0,2,1,1,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河南宏远铁塔设备有限公司,e880a9c0170342749682944723aea491
租赁和商务服务业,200000000.0,3,3,4,0,2,0,0,0,3,3,4,0,0.666666667,0.0,0.0,0,1,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,道亚财富（上海）投资管理有限公司,68ed9b5c5cdb454c966e52001a347e26
0.0,0.0,2,1,0,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,莱芜市润鑫投资咨询有限公司,0.0
租赁和商务服务业,50000000.0,4,18,42,152,0,11,8,0,4,24,70,307,0.0,0.071895425,0.009291521,0,1,1.333333333,1.666666667,2.019736842,4.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,达安企业管理咨询（广州）有限公司,1016a5c4a6d147539537f800ac89615b
租赁和商务服务业,1000000.0,2,3,4,0,0,0,0,0,2,3,4,0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,莱芜市恒信投资咨询有限公司,d1e0ce254d7b43b580e6c3f6cea948d0
租赁和商务服务业,10000000.0,2,1,2,2,0,0,0,0,2,1,2,2,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京京澳资产管理有限公司,3a1f97373e3f477980d3fe6be4e827b1
租赁和商务服务业,10000000.0,3,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,青岛国祥润成投资管理有限公司,7ce81d4d683d4f879ef88bf63ae99b49
租赁和商务服务业,50000000.0,4,8,18,6,0,0,0,0,4,8,18,6,0.0,0.0,0.0,0,1,1.0,1.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳润合金融服务发展有限公司,b96713c98abf4b028751962d4a6a64b5
租赁和商务服务业,10000000.0,2,3,8,21,0,0,0,0,2,3,8,22,0.0,0.0,0.0,0,1,1.0,1.0,1.047619048,2.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京中资融达投资担保有限公司,7888feaf5c044d639ada13b969526de3
信息传输、软件和信息技术服务业,10000000.0,17,113,690,3381,6,61,208,0,17,129,933,4750,0.044117647,0.009639697,0.0008750339999999999,0,1,1.14159292,1.352173913,1.40490979,17.0,113.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,陕西荣投信息科技有限公司,3e1d8551d4fc4eac82baaed04ca14eff
批发和零售业,5000000.0,4,4,5,8,1,0,0,0,4,4,5,8,0.166666667,0.0,0.0,0,1,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,成都铂利亚电子商务有限公司,4b94fbd09b8140c19fef017d27246fba
租赁和商务服务业,20000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,大连东北亚钻石交易中心有限公司,ec37248178014ddb933c12258d3a4137
信息传输、软件和信息技术服务业,50000000.0,2,1,1,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市云德时代科技有限公司,74e51772a4b249b4a48e05399c1a7d35
租赁和商务服务业,100000000.0,3,10,10,52,1,1,2,0,3,11,16,130,0.333333333,0.022222222000000003,0.044444444000000013,0,1,1.1,1.6,2.5,3.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,杭州孔明金融信息服务有限公司,dbae969c58c4402ea0e6c3f339ee7dac
租赁和商务服务业,200000000.0,3,1,1,0,0,0,0,0,3,1,1,0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京永融投资有限公司,97e7d8c9677a472a8353ca319f95ec08
农、林、牧、渔业,8000000.0,2,9,56,37,0,0,21,0,2,9,59,44,0.0,0.0,0.013636364,0,1,1.0,1.053571429,1.189189189,2.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,合肥瑞敏苗木花卉有限公司,fb456afc84654fd9b8260cc7dc86f680
租赁和商务服务业,50000000.0,1,1,3,1,0,0,0,0,1,1,3,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,宁波涌沪行投资管理有限公司,d18209fd366e4efbbddc2eb386782dbf
租赁和商务服务业,10000000.0,2,9,217,330,0,0,7,0,2,9,218,377,0.0,0.0,0.000298686,0,1,1.0,1.004608295,1.142424242,2.0,9.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,安徽宜信融资理财服务有限公司,77152299f6894ea482e30ceb2bc62344
租赁和商务服务业,50000000.0,4,15,16,23,1,0,0,0,4,17,17,24,0.166666667,0.0,0.0,0,1,1.133333333,1.0625,1.043478261,4.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,江苏耀信经济信息咨询有限公司,a34540e80ebb4c41aa0f6b35bd2086f4
租赁和商务服务业,50000000.0,3,11,18,18,2,1,0,0,3,11,19,18,0.666666667,0.018181818,0.0,0,1,1.0,1.0555555559999998,1.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,江苏鸿世达金融信息服务有限公司,f0ec89d943334416a4d023d7346b0991
租赁和商务服务业,50000000.0,3,13,3,9,2,1,1,0,3,14,6,14,0.666666667,0.012820513,0.333333333,0,1,1.076923077,2.0,1.5555555559999998,3.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,浙江百信财富投资管理有限公司,899d8239745c4d3da8e6478375fde398
租赁和商务服务业,86000000.0,3,6,6,20,1,2,1,0,3,6,6,20,0.333333333,0.133333333,0.066666667,0,1,1.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,云南汇纳经济信息咨询有限公司,750e7b887b45435caa6807c805642548
金融业,50000000.0,3,7,36,225,1,1,1,0,3,9,41,242,0.333333333,0.047619048,0.001587302,0,1,1.285714286,1.138888889,1.075555556,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,善水融互联网金融服务（深圳）有限公司,ff53bc41b3ce4fa79e294c5d791c0838
租赁和商务服务业,10000000.0,3,10,19,28,0,1,0,0,3,11,20,41,0.0,0.022222222000000003,0.0,0,1,1.1,1.052631579,1.464285714,3.0,10.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,焦作市飞洋投资咨询服务有限公司,1e9d702716a14f80933e3b5ff0f68451
批发和零售业,5000000.0,2,2,2,1,0,0,0,0,2,2,2,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,滨州市嘉润电子商务有限公司,6ddba9756fff4ce2a0593bbe41dd74c1
信息传输、软件和信息技术服务业,10000000.0,3,5,6,1,0,0,0,0,3,5,6,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,郑州民蕴网络技术有限公司,fee4b29d702e4f5c9054b7ce316f6990
信息传输、软件和信息技术服务业,50000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳市前海和谐之家电子商务有限公司,b89bcd335c8c483bba6163217ac48f51
信息传输、软件和信息技术服务业,50000000.0,2,1,4,2,0,0,0,0,2,1,4,3,0.0,0.0,0.0,0,1,1.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,浙江民富宝信息科技有限公司,89e45da41da34cad8d8e221e5b3f69a7
