attr_feature_industry,attr_feature_regcap,attr_feature_n1,attr_feature_n2,attr_feature_n3,attr_feature_n4,attr_feature_c1,attr_feature_c2,attr_feature_c3,attr_feature_c4,attr_feature_sum_c1j,attr_feature_sum_c2j,attr_feature_sum_c3j,attr_feature_sum_c4j,attr_feature_rho1,attr_feature_rho2,attr_feature_rho3,attr_feature_rho4,attr_feature_beta1,attr_feature_beta2,attr_feature_beta3,attr_feature_beta4,attr_feature_1degree_num,attr_feature_2degree_num,attr_feature_MMWY_num,attr_feature_JDWY_num,attr_feature_JYYC_num,attr_feature_peroson_invest_num,attr_feature_fr_invest_num,attr_feature_SUPERVISOR_num,attr_feature_EXECUTIVE_num,attr_feature_DIRECTOR_num,attr_feature_LEGAL_num,attr_feature_L_E_num,attr_feature_L_S_num,attr_feature_L_D_num,attr_feature_D_S_num,attr_feature_D_E_num,attr_feature_S_E_num,attr_feature_L_E_D_num,attr_feature_L_E_S_num,attr_feature_L_D_S_num,attr_feature_E_D_S_num,attr_feature_L_E_D_S_num,company_name,node_id
租赁和商务服务业,50000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,武汉万钧财富投资管理有限公司,b8a96268073d4762a29f2ea91290b045
房地产业,20000000.0,3,1,2,7,0,0,0,0,3,1,2,7,0.0,0.0,0.0,0,1,1.0,1.0,1.0,3.0,1.0,5.0,12.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河南乾达置业有限公司,803c6afb281c4181a36855d45ab91ee8
租赁和商务服务业,100000000.0,3,4,4,6,1,0,1,0,3,6,6,9,0.333333333,0.0,0.166666667,0,1,1.5,1.5,1.5,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,贵州琳鹏创投电子商务有限公司,a71263bc5965482caa57d9318e66b307
租赁和商务服务业,0.0,1,1,1,1,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河南金基汽车租赁有限公司淮滨县分公司,fc6ae6785d554fe7881352fc78fd90d2
信息传输、软件和信息技术服务业,50000000.0,2,4,7,3,0,0,0,0,2,4,7,3,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,安阳市红兴电子商务有限公司,378ea7fcfe4c4ec78be77122122ac697
租赁和商务服务业,200000000.0,5,13,19,14,3,0,0,0,5,13,20,21,0.3,0.0,0.0,0,1,1.0,1.052631579,1.5,5.0,13.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,山西帝业投资有限公司,c37885be971f4b46a7cb98e397c428e0
租赁和商务服务业,500000000.0,11,60,340,3910,3,20,125,0,11,73,478,5992,0.054545455,0.011299435,0.002169009,0,1,1.216666667,1.4058823530000002,1.532480818,11.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,河北信投集团资产管理有限公司,04165009ded3473ca5e32bf1a53c5731
制造业,30000000.0,2,3,11,4,0,0,0,0,2,3,11,4,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,3.0,4.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,青海大地石材开发有限公司,51f9613136e04ee18ed2e13b7df77dec
租赁和商务服务业,0.0,2,3,5,8,0,0,1,0,2,3,5,8,0.0,0.0,0.1,0,1,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京瑞晟汇丰投资咨询中心（有限合伙）,6fd9c2d6baa24c4c9e475d842a20d8e3
租赁和商务服务业,50000000.0,10,24,93,227,10,1,4,0,10,27,96,291,0.222222222,0.003623188,0.000935016,0,1,1.125,1.032258065,1.281938326,10.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,姚顿集团有限公司,83e3e81beeb548a986b57fd5f51ae572
